id,name,lat,lon,borough,description
1,Alphabet City,40.726,-73.979,Manhattan,"Alphabet City is a neighborhood located within the East Village in the New York City borough of Manhattan. Its name comes from Avenues A, B, C, and D, the only avenues in Manhattan to have single-letter names. It is bordered by Houston Street to the south and by 14th Street to the north, along the traditional northern border of the East Village and south of Stuyvesant Town and Peter Cooper Village. Some famous landmarks include Tompkins Square Park and the Nuyorican Poets Cafe.
The neighborhood has a long history, serving as a cultural center and ethnic enclave for Manhattan's German, Polish, Hispanic, and Jewish populations. However, there is much dispute over the borders of the Lower East Side, Alphabet City, and East Village. Historically, Manhattan's Lower East Side was 14th Street at the northern end, bound on the east by East River and on the west by First Avenue; today, that same area is Alphabet City. The area's German presence in the early 20th century, in decline, virtually ended after the General Slocum disaster in 1904.
Alphabet City is part of Manhattan Community District 3 and its primary ZIP Code is 10009. It is patrolled by the 9th Precinct of the New York City Police Department."
2,Battery Park City,40.713,-74.016,Manhattan,"Battery Park City is a mainly residential 92-acre (37 ha) planned community on the west side of the southern tip of the island of Manhattan in New York City. It is bounded by the Hudson River on the west, the Hudson River shoreline on the north and south, and the West Side Highway on the east. The neighborhood is named for Battery Park, located directly to the south.
More than one-third of the development is parkland. The land upon which it is built was created by land reclamation on the Hudson River using over 3 million cubic yards (2.3×10^6 m3) of soil and rock excavated during the construction of the World Trade Center, the New York City Water Tunnel, and certain other construction projects, as well as from sand dredged from New York Harbor off Staten Island. The neighborhood includes Brookfield Place (formerly the World Financial Center), along with numerous buildings designed for housing, commercial, and retail.
Battery Park City is part of Manhattan Community District 1. It is patrolled by the 1st Precinct of the New York City Police Department."
3,Carnegie Hill,40.784726,-73.95607,Manhattan,"Carnegie Hill is a neighborhood within the Upper East Side, in the borough of Manhattan in New York City. Its boundaries are 86th Street on the south, Fifth Avenue (Central Park) on the west, with a northern boundary at 98th Street that continues just past Park Avenue and turns south to 96th Street and proceeds east up to, but not including, Third Avenue. The neighborhood is part of Manhattan Community District 8. 
In the 2000s, the perceived northern boundary on Park Avenue has edged over 96th Street into what was traditionally Spanish Harlem, leading to that area sometimes being called Upper Carnegie Hill, especially by real-estate brokers. According to the official Carnegie Hill Neighbors website, the Carnegie Hill neighborhood extends from 86th to 98th Streets, from Fifth Avenue up to, but not including, Third Avenue."
4,Chelsea,40.746,-74.001,Manhattan,"Chelsea is a neighborhood on the West Side of the borough of Manhattan in New York City. The district's boundaries are roughly 14th Street to the south, the Hudson River and West Street to the west, and Sixth Avenue to the east, with its northern boundary variously described as near the upper 20s
or 34th Street, the next major crosstown street to the north. To the northwest of Chelsea is the neighborhood of Hell's Kitchen, as well as Hudson Yards; to the northeast are the Garment District and the remainder of Midtown South; to the east are NoMad and the Flatiron District; to the southwest is the Meatpacking District; and to the south and southeast are the West Village and the remainder of Greenwich Village. Chelsea is named after the Royal Hospital Chelsea in London, England.
Chelsea contains the Chelsea Historic District and its extension, which were designated by the New York City Landmarks Preservation Commission in 1970 and 1981 respectively. The district was added to the National Register of Historic Places in 1977, and expanded in 1982 to include contiguous blocks containing particularly significant examples of period architecture.
The neighborhood is primarily residential, with a mix of tenements, apartment blocks, city housing projects, townhouses, and renovated rowhouses, but its many retail businesses reflect the ethnic and social diversity of the population. The area has a large LGBTQ population. Chelsea is also known as one of the centers of the city's art world, with over 200 galleries in the neighborhood. As of 2015, due to the area's gentrification, there is a widening income gap between the wealthy living in luxury buildings and the poor living in housing projects, who are, at times, across the street from each other.
Chelsea is part of Manhattan Community District 4 and its primary ZIP Codes are 10001 and 10011. It is patrolled by the 10th Precinct of the New York City Police Department."
5,Chinatown,40.715,-73.997,Manhattan,"Manhattan's Chinatown (simplified Chinese: 曼哈顿华埠; traditional Chinese: 曼哈頓華埠; pinyin: Mànhādùn huábù; Jyutping: Maan6haa1deon6 waa1bou6) is a neighborhood in Lower Manhattan, New York City, bordering the Lower East Side to its east, Little Italy to its north, Civic Center to its south, and Tribeca to its west. With an estimated population of 90,000 to 100,000 people, Chinatown is home to the highest concentration of Chinese people in the Western Hemisphere. Manhattan's Chinatown is also one of the oldest Chinese ethnic enclaves. The Manhattan Chinatown is one of nine Chinatown neighborhoods in New York City, as well as one of twelve in the New York metropolitan area, which contains the largest ethnic Chinese population outside of Asia, comprising an estimated 893,697 uniracial individuals as of 2017.Historically, Chinatown was primarily populated by Cantonese speakers. However, in the 1980s and 1990s, large numbers of Fuzhounese-speaking immigrants also arrived and formed a sub-neighborhood annexed to the eastern portion of Chinatown east of The Bowery, which has become known as Little Fuzhou (小福州) subdivided away from the primarily Cantonese populated original long time established Chinatown of Manhattan from the proximity of The Bowery going west, known as Little Hong Kong/Guangdong (小粵港). As many Fuzhounese and Cantonese speakers now speak Mandarin—the official language in China and Taiwan—in addition to their native languages, this has made it more important for Chinatown residents to learn and speak Mandarin. Although now overtaken in size by the rapidly growing Flushing Chinatown (法拉盛華埠), located in the New York City borough of Queens, the Manhattan Chinatown remains a dominant cultural force for the Chinese diaspora, as home to the Museum of Chinese in America and as the headquarters of numerous publications based both in the U.S. and China that are geared to overseas Chinese.
Chinatown is part of Manhattan Community District 3 and it is primary ZIP Codes are 10013 and 10002. It is patrolled by the 5th Precinct of the New York City Police Department."
6,East Harlem,40.795,-73.939,Manhattan,"East Harlem, also known as Spanish Harlem or El Barrio, is a neighborhood of Upper Manhattan, New York City, roughly encompassing the area north of the Upper East Side and bounded by 96th Street to the south, Fifth Avenue to the west, and the East and Harlem Rivers to the east and north. Despite its name, it is generally not considered to be a part of Harlem.The neighborhood is one of the largest predominantly Hispanic communities in New York City, mostly made up of Puerto Ricans, as well as sizeable numbers of Dominican, Cuban and Mexican immigrants. The community is notable for its contributions to Latin freestyle and salsa music. East Harlem also includes the area formerly known as Italian Harlem, in which the remnants of a once predominantly Italian community remain. The Chinese population has increased dramatically in East Harlem since 2000.East Harlem has historically suffered from many social issues, such as a high crime rate, the highest jobless rate in New York City, teenage pregnancy, AIDS, drug abuse, homelessness, and an asthma rate five times the national average. It has the second-highest concentration of public housing in the United States, behind Brownsville, Brooklyn. However, East Harlem is undergoing some gentrification. In February 2016, East Harlem was one of four neighborhoods featured in an article in The New York Times about ""New Hot Neighborhoods"", and the city was considering re-zoning the area.
East Harlem is part of Manhattan Community District 11 and its primary ZIP Codes are 10029 and 10035. It is patrolled by the 23rd and 25th Precincts of the New York City Police Department."
7,East Village,40.728,-73.986,Manhattan,"The East Village is a neighborhood on the East Side of Lower Manhattan in New York City, United States. It is roughly defined as the area east of the Bowery and Third Avenue, between 14th Street on the north and Houston Street on the south. The East Village contains three subsections: Alphabet City, in reference to the single-letter-named avenues that are located to the east of First Avenue; Little Ukraine, near Second Avenue and 6th and 7th Streets; and Bowery, located around the street of the same name.
Initially, what is now the East Village was occupied by the Lenape Native Americans, and was then divided into plantations by Dutch settlers. During the early 19th century, the East Village contained many of the city's most opulent estates. By the middle of the century, it grew to include a large immigrant population—including what was once referred to as Manhattan's Little Germany—and was considered part of the nearby Lower East Side. By the late 1960s, many artists, musicians, students and hippies began to move into the area, and East Village was given its own identity. Since at least the 2000s, gentrification has changed the character of the neighborhood.East Village is part of Manhattan Community District 3 and its primary ZIP Codes are 10003 and 10009. It is patrolled by the 9th Precinct of the New York City Police Department."
8,Financial District,40.708,-74.011,Manhattan,"The Financial District of Lower Manhattan, also known as FiDi, is a neighborhood located on the southern tip of Manhattan island in New York City. It is bounded by the West Side Highway on the west, Chambers Street and City Hall Park on the north, Brooklyn Bridge on the northeast, the East River to the southeast, and The Battery on the south.
The City of New York was created in the Financial District in 1624, and the neighborhood roughly overlaps with the boundaries of the New Amsterdam settlement in the late 17th century. The district comprises the offices and headquarters of many of the city's major financial institutions, including the New York Stock Exchange and the Federal Reserve Bank of New York. Anchored on Wall Street in the Financial District, New York City has been called both the most financially powerful city and the leading financial center of the world, and the New York Stock Exchange is the world's largest stock exchange by total market capitalization. Several other major exchanges have or had headquarters in the Financial District, including the New York Mercantile Exchange, NASDAQ, the New York Board of Trade, and the former American Stock Exchange.
The Financial District is part of Manhattan Community District 1 and its primary ZIP Codes are 10004, 10005, 10006, and 10038. It is patrolled by the 1st Precinct of the New York City Police Department."
9,Flatiron District,40.7408,-73.9896,Manhattan,"The Flatiron District is a neighborhood in the New York City borough of Manhattan, named after the Flatiron Building at 23rd Street, Broadway and Fifth Avenue.
Generally the Flatiron District is bounded by 14th Street, Union Square and Greenwich Village to the south; the Avenue of the Americas (Sixth Avenue) and Chelsea to the west; 23rd Street and Madison Square (or NoMad) to the north; and Park Avenue South and Gramercy Park to the east.Broadway cuts through the middle of the district, and Madison Avenue begins at 23rd Street and runs north. At the north (uptown) end of the district is Madison Square Park, which was completely renovated in 2001. The Flatiron District encompasses within its boundaries the Ladies' Mile Historic District and the birthplace of Theodore Roosevelt, a National Historic Site. The Flatiron District was also the birthplace of Silicon Alley, a metonym for New York's high technology sector, which has since spread beyond the area.The Flatiron District is part of Manhattan Community District 5. Residents are represented by the Flatiron Alliance neighborhood association and nearby businesses by the Flatiron/23rd Street Partnership business improvement district, though the two have different (partially overlapping) boundaries."
10,Gramercy Park,40.7378,-73.9861,Manhattan,"Gramercy Park () is the name of both a small, fenced-in private park and the surrounding neighborhood that is referred to also as Gramercy, in the New York City borough of Manhattan in New York, United States.The approximately 2-acre (0.8 ha) park, located in the Gramercy Park Historic District, is one of two private parks in New York City – the other is Sunnyside Gardens Park in Queens – as well as one of only three in the state; only people residing around the park who pay an annual fee have a key, and the public is not generally allowed in – although the sidewalks of the streets around the park are a popular jogging, strolling, and dog-walking route.
The neighborhood is mostly located within Manhattan Community District 6, with a small portion in Community District 5. It is generally perceived to be a quiet and safe area.The neighborhood, associated historic district, and park have generally received positive reviews. Calling it ""a Victorian gentleman who has refused to die"", Charlotte Devree in The New York Times said that ""There is nothing else quite like Gramercy Park in the country."" When the New York City Landmarks Preservation Commission created the Gramercy Park Historic District in 1966, they quoted from John B. Pine's 1921 book, The Story of Gramercy Park:

The laying out of Gramercy Park represents one of the earliest attempts in this country at 'City Planning'. ... As a park given to the prospective owners of the land surrounding it and held in trust for those who made their homes around it, Gramercy Park is unique in this City, and perhaps in this country, and represents the only neighborhood, with possibly one exception, which has remained comparatively unchanged for eighty years — the Park is one of the City's Landmarks."
